Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_Blank1_NEG,1,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_Blank2_NEG,2,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_Blank5_NEG,3,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_QC1_NEG,4,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:G11,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_QC2_NEG,5,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:G11,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_68_Ser_5_2_NEG,6,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:F8,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_51_yfcJ_0_3_NEG,7,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:E3,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_56_Ser_0_2_NEG,8,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:E8,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_28_yfdC_15_1_NEG,9,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:C4,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_29_yfdC_15_2_NEG,10,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:C5,1,,0,0,0,0,,,,,,,
Unknown,20230224_DR_UMETAB310_Ac-C18_Plate4_76_ydjX_15_1_NEG,11,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:G4,1,,0,0,0,0,,,,,,,
