Bracket Type=4,,,,,,,,,,,,,,,,,,,,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_1_WT_0_1_NEG,40,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A1,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_10_sapF_0_1_NEG,27,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A10,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_11_sapF_0_2_NEG,45,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A11,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_12_sapF_0_3_NEG,37,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A12,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_2_WT_0_2_NEG,32,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A2,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_3_WT_0_3_NEG,111,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A3,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_4_uraA_0_1_NEG,79,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A4,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_5_uraA_0_2_NEG,86,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A5,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_6_uraA_0_3_NEG,78,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A6,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_7_ydcU_0_1_NEG,11,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A7,1,,0,0,0,0,,,,,,,
Unknown,20230217_DR_UMETAB310_Ac-C18_Plate2_8_ydcU_0_2_NEG,36,D:\20230214_DR_UMETAB310_MR,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_R120_RSCal_ex-incl,,,G:A8,1,,0,0,0,0,,,,,,,
