Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ,L2 ,L3 ,L4 ,L5 ,Comment,Sample Name
Blank,20210120_Blank_NEG_01,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20210120_Blank_NEG_01
Blank,20210120_Blank_NEG_02,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20210120_Blank_NEG_02
Blank,20210120_Blank_NEG_03,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20210120_Blank_NEG_03
Std Bracket,20210120_Blank_NEG_04,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20210120_Blank_NEG_04
Unknown,20210120_Pooled_F11,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS2Stepped_MIT80-54_R120-30k_Excl,,,B:F11,1,,0,0,0,1,,,,,,,20210120_Pooled_F11
Unknown,20210120_Pooled_G11,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS2Stepped_MIT80-54_R120-30k_Excl,,,B:G11,1,,0,0,0,1,,,,,,,20210120_Pooled_G11
Unknown,20210120_Pooled_H11,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS2Stepped_MIT80-54_R120-30k_Excl,,,B:H11,1,,0,0,0,1,,,,,,,20210120_Pooled_H11
Unknown,20210120__DR_UMETAB184_AAmix_NEG,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_R120k,,,R:A2,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_AAmix_NEG
Unknown,20210120__DR_UMETAB184_QC1_NEG,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_R120k,,,B:H11,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_QC1_NEG
Unknown,20210120__DR_UMETAB184_QC2_NEG,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_R120k,,,B:H11,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_QC2_NEG
