Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ,L2 ,L3 ,L4 ,L5 ,Comment,Sample Name
Blank,Blank_01,1,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_01
Blank,Blank_02,1,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_02
Std Bracket,Blank_03,1,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_03
Unknown,PooledQC_NEG_01,1,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS2Stepped_MITAuto-54_R120-30k_Excl,,,B:F11,1,,0,0,0,1,,,,,,,PooledQC_NEG_01
Unknown,PooledQC_NEG_02,1,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS2Stepped_MITAuto-54_R120-30k_Excl,,,B:F11,1,,0,0,0,1,,,,,,,PooledQC_NEG_02
Unknown,20210714_DR_UMETAB216_60_yeaV_15_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:F2,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_60_yeaV_15_NEG
Unknown,20210714_DR_UMETAB216_44_yeeE_0_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:D8,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_44_yeeE_0_NEG
Unknown,20210714_DR_UMETAB216_46_ydhK_0_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:D10,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_46_ydhK_0_NEG
Unknown,20210714_DR_UMETAB216_40_yadG_0_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:D4,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_40_yadG_0_NEG
Unknown,20210714_DR_UMETAB216_30_yadG_5_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:C6,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_30_yadG_5_NEG
Unknown,20210714_DR_UMETAB216_35_ydhK_5_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:C11,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_35_ydhK_5_NEG
Unknown,20210714_DR_UMETAB216_23_ydhK_15_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:B11,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_23_ydhK_15_NEG
Unknown,20210714_DR_UMETAB216_5_yadG_30_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:A5,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_5_yadG_30_NEG
Unknown,20210714_DR_UMETAB216_21_yeeE_15_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:B9,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_21_yeeE_15_NEG
Unknown,20210714_DR_UMETAB216_86_Ser_0_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:H8,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_86_Ser_0_NEG
Unknown,20210714_DR_UMETAB216_7_yeeE_30_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:A7,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_7_yeeE_30_NEG
Unknown,20210714_DR_UMETAB216_37_WT_0_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:D1,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_37_WT_0_NEG
Unknown,20210714_DR_UMETAB216_Blank4_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_Blank4_NEG
Unknown,20210714_DR_UMETAB216_QC3_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:F11,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_QC3_NEG
Unknown,20210714_DR_UMETAB216_33_yeeE_5_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:C9,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_33_yeeE_5_NEG
Unknown,20210714_DR_UMETAB216_48_ydhK_0_NEG,,D:\20210714_DR_UMETAB216_LJM\20210714_DR_UMETAB216_LJM_AcqX_NEG,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_NEG_70-1000Da_MITAuto_MS1_R120k,,,B:D12,1,,0,0,0,1,,,,,,,20210714_DR_UMETAB216_48_ydhK_0_NEG
