Bracket Type=4,,,,,,,,,,,,,,,,,,,,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_Blank10,109,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_QC-mix-i1,110,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,R:A2,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_Blank3,111,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_Blank4,112,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_QC1,113,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:H2,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_QC2,114,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:H2,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_46_ybbW_30_1,115,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:D10,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_8_WT_15_2,116,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:A8,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_54_yidE_5_3,117,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:E6,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_35_mdlA_30_2,118,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:C11,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_81_Ser_15_3,119,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:G9,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_11_WT_30_2,120,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:A11,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_77_Ser_5_2,121,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:G5,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_52_yidE_5_1,122,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:E4,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_29_mdlA_5_2,123,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:C5,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_14_dcuD_0_2,124,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:B2,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_41_ybbW_5_2,125,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:D5,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_20_dcuD_15_2,126,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:B8,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_84_Ser_30_3,127,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:G12,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_12_WT_30_3,128,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:A12,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_3_WT_0_3,129,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:A3,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_31_mdlA_15_1,130,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:C7,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_49_yidE_0_1,131,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:E1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_76_Ser_5_1,132,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:G4,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_NEG_UMETAB384_Plate100_47_ybbW_30_2,133,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_NEG_70-1000Da_MS1_120k_RSCal_SValve,,,G:D11,1,,0,0,0,0,,,,,,,
