Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ,L2 ,L3 ,L4 ,L5 ,Comment,Sample Name
Blank,Blank_01,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_01
Blank,Blank_02,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_02
Blank,Blank_03,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_03
Std Bracket,Blank_04,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,Blank_04
Unknown,Pooled_E11,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS2Stepped_MIT80-54_R120-30k_Excl,,,B:E11,1,,0,0,0,1,,,,,,,Pooled_E11
Unknown,Pooled_F11,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS2Stepped_MIT80-54_R120-30k_Excl,,,B:F11,1,,0,0,0,1,,,,,,,Pooled_F11
Unknown,Pooled_G11,1,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS2Stepped_MIT80-54_R120-30k_Excl,,,B:G11,1,,0,0,0,1,,,,,,,Pooled_G11
Unknown,20210120__DR_UMETAB184_AAmix_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,R:A2,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_AAmix_POS
Unknown,20210120__DR_UMETAB184_QC1_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:E11,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_QC1_POS
Unknown,20210120__DR_UMETAB184_QC2_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:E11,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_QC2_POS
Unknown,20210120__DR_UMETAB184_QC3_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:E11,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_QC3_POS
Unknown,20210120__DR_UMETAB184_QC4_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:E11,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_QC4_POS
Unknown,20210120__DR_UMETAB184_81_ydjE_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:H3,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_81_ydjE_POS
Unknown,20210120__DR_UMETAB184_54_yifK_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:E6,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_54_yifK_POS
Unknown,20210120__DR_UMETAB184_31_mtr_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:C7,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_31_mtr_POS
Unknown,20210120__DR_UMETAB184_14_WT_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:B2,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_14_WT_POS
Unknown,20210120__DR_UMETAB184_43_mtr_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:D7,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_43_mtr_POS
Unknown,20210120__DR_UMETAB184_20_mtr_POS,,D:\20210120_DR_UMETAB184_LJM\20210120_DR_UMETAB184_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_R120k,,,B:B8,1,,0,0,0,1,,,,,,,20210120__DR_UMETAB184_20_mtr_POS
