Bracket Type=4,,,,,,,,,,,,,,,,,,,,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_Blank1,1,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_Blank2,2,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_QC-mix-i1,3,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,R:A2,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_Blank3,4,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_Blank4,5,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,R:A1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_QC1,6,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,G:H1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_QC2,7,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,G:H1,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_46_ybbW_30_1,8,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,G:D10,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_8_WT_15_2,9,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,G:A8,1,,0,0,0,0,,,,,,,
Unknown,20231006_Ac-C18_POS_UMETAB384_Plate100_54_yidE_5_3,10,D:\20231006_DR_UMETAB384_MR,C:\Xcalibur\methods\Daniela\UMETAB_Unpolar Assay_C18-BEH_GC_10cm\Acidic_Conditions\LC-MS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS1_120k_RSCal_SValve,,,G:E6,1,,0,0,0,0,,,,,,,
