Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ,L2 ,L3 ,L4 ,L5 ,Comment,Sample Name
Blank,20220125_DR_UMETAB235_Blank1_POS,1,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_Blank1_POS
Blank,20220125_DR_UMETAB235_AA-mix_POS,1,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,R:A2,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_AA-mix_POS
Blank,20220125_DR_UMETAB235_Blank2_POS,1,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_Blank2_POS
Std Bracket,20220125_DR_UMETAB235_Blank3_POS,1,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_Blank3_POS
Unknown,20220125_DR_UMETAB235_QC1_ID_POS,1,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS2Stepped_MITAuto-54_R120-30k_Excl,,,G:F11,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_QC1_ID_POS
Unknown,20220125_DR_UMETAB235_QC2_ID_POS,1,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS2Stepped_MITAuto-54_R120-30k_Excl,,,G:F11,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_QC2_ID_POS
Unknown,20220125_DR_UMETAB235_QC3_ID_POS,1,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS\BEH18GC_10cm_12-7m_POS_70-1000Da_MS2Stepped_MITAuto-54_R120-30k_Excl,,,G:F11,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_QC3_ID_POS
Unknown,20220125_DR_UMETAB235_Blank4_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_Blank4_POS
Unknown,20220125_DR_UMETAB235_Blank5_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,R:A1,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_Blank5_POS
Unknown,20220125_DR_UMETAB235_QC1_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,G:E11,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_QC1_POS
Unknown,20220125_DR_UMETAB235_65_ydfJ_15_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,G:F6,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_65_ydfJ_15_POS
Unknown,20220125_DR_UMETAB235_49_ybhE_30_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,G:E1,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_49_ybhE_30_POS
Unknown,20220125_DR_UMETAB235_54_ydfJ_30_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,G:E6,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_54_ydfJ_30_POS
Unknown,20220125_DR_UMETAB235_26_WT_5_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,G:C2,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_26_WT_5_POS
Unknown,20220125_DR_UMETAB235_28_WT_5_POS,,D:\20220125_DR_UMETAB235_LJM\20220125_DR_UMETAB235_LJM_AquireX_POS,C:\Xcalibur\methods\Daniela\AquireX\MS1\BEH18GC_10cm_12-7m_POS_70-1000Da_MITAuto_MS1_R120k,,,G:C4,1,,0,0,0,1,,,,,,,20220125_DR_UMETAB235_28_WT_5_POS
